Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href
2002.06.13.R2,2002-06-13,2002,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",,,,"Arm severely lacerated, surgically amputated",N,,,"PNG Post-Courier, 6/13/2002, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.13-R.2-beche-de-mer.pdf
2002.06.13.R1,2002-06-13,2002,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Gawa Reefs, Sudest Island",,,,FATAL,Y,,,"PNG Post-Courier, 6/13/2002, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.13.R.1-schoolteacher.pdf
2002.06.11.b,2002-06-11,2002,Unprovoked,USA,Hawaii,"Anini Beach, Kaua'i",,,,"No injury, shark bit side of surfboard",N,13h345,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  ",Hawaii Department of Land and Natural Resources,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.11.b-Levin.pdf
2002.06.11.a,2002-06-10,2002,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,Right hand lacerated,N,13h00,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,"Orlando Sentinel, 6/12/2002, pp. B2 & B5; Florida Times-Union, 6/10/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.11.a-JasonSmith.pdf
2002.06.09.b,2002-06-09,2002,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,50,6-inch gash on right foot,N,10h40,  ,"S. Petersohn, GSAF; S. Pedicini, Orlando Sentinel, 6/13/2002., p.B1 & 6/12/2002, p.B2",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.09.b-Taylor.pdf
2002.06.09.a,2002-06-09,2002,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,10,Right calf lacerated,N,13h00,,"ESPN; Orlando Sentinel, 6/12/2002, p.B2",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.09.a-Brooks.pdf
2002.06.03,2002-06-03,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling,M,50,Upper arm bitten,N,  ,1.5 to 2.5 m [5' to 8.25'] copper shark,T. White,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.06.03-White.pdf
2002.05.31.b,2002-05-31,2002,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,24,Lacerated leg & back,N,14h15,3.7 m to 4.3 m [12' to 14'] white shark,San Francisco Gate,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.31.b-Fontan.pdf
2002.05.31.a,2002-05-31,2002,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",Floating,M,16,Lacerated foot,N,16h15,1 m  shark,"South Florida Sun-Sentinel; Orlando Sentinel, 6/3/2002, p.B.2; Miami Herald, 6/3/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.31.a-Tichenor.pdf
2002.05.22.b,2002-05-22,2002,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island ",Fishing,M,55,Leg bitten by hooked shark PROVOKED INCIDENT,N,17h15,3' blacktip shark,"News-Press, 5/23/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.22.b-MarcoIsland.pdf
2002.05.22.a,2002-05-22,2002,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",Playing,M,35,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N,06h47,,"Palm Beach Post,  5/24 & 26/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.22.a-Oliver.pdf
2002.05.21.R,2002-05-21,2002,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,,Toothmarks in board & his swim trunks,N,,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",Surfline.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.21.R-Wallace.pdf
2002.05.21,2002-05-21,2002,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,,M,14,Wrist lacerated,N,,,"PNG Post-Courier, 6/13/2002, p.5",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.21.a-Leonard.pdf
2002.05.13,2002-05-13,2002,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,Laceration to arm.,N,,2.1 m to 2.4 m [7' to 8'] shark,South Florida Sun-Sentinel; Southwest Florida Digest,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.13-Gallegos.pdf
2002.05.10,2002-05-10,2002,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Surfing,M,40,Leg injured,N,17h00,,"JCOnline, 5/11/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.10-PauloFernandesAlvesFerreira.pdf
2002.05.07,2002-05-07,2002,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,20,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,N,,,"Northern Territory News, 5/29/2002, p.7",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.05.07-Morris.pdf
2002.04.30,2002-04-30,2002,Unprovoked,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Diving,M,23,"FATAL, torso & leg bitten  ",Y,12h40,"White shark, 6m [20']","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.30-Buckland.pdf
2002.04.21,2002-04-21,2002,Provoked,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing,M,52,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",,,Invalid,Newcastle Herald. 10/3/2002,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.21-KangSukLee.pdf
2002.04.20,2002-04-20,2002,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County",Standing,M,34,Left foot bitten,N,10h30,1.2 m [4'] shark,"Miami Herald, 4/25/2002; Florida Times-Union, 4/23/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.20-Stinson.pdf
2002.04.18,2002-04-18,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,Left foot bitten,N,11h10,,"S. Petersohn, GSAF; Orlando Sentinel, 4/19/2002, p.G1; Daytona Beach News Journal, 4/19/2002, p.1C",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.18-Sutliff.pdf
2002.04.12,2002-04-12,2002,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,M,45,Foot bitten,N,18h30,,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.12-Schneider.pdf
2002.04.09,2002-04-09,2002,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Standing,M,43,Calf bitten,N,10h45,"Bull shark, 400-lb ","E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.09-Ritter.pdf
2002.04.02,2002-04-02,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,41,Two half-inch lacerations on right heel and one near small toe,N,15h00,3'  shark,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.02-male.pdf
2002.04.01,2002-04-01,2002,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming,M,29,Upper left arm bitten,N,11h30,0.9 m [3'] shark,"Orlando Sentinel, 4/2/2002, p.B3; Miami Herald, 4/2/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.04.01-May.pdf
2002.03.25.b,2002-03-25,2002,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Boarding,M,17,Left leg severed below knee,N,12h00,Tiger shark,"G. Kubota, Honolulu Star Bulletin",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.25.b-HokuAki.pdf
2002.03.25.a,2002-03-25,2002,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,11,Foot bitten,N,10h10,  ,"Orlando Sentinel, 3/26/2002, p.B2; Miami Herald, 3/26/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.25.a-Lawrence.pdf
2002.03.24,2002-03-24,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,16,"Severe kacerations, FATAL",Y,17h00,,JCOnline,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.24-FabioFernandesSilva.pdf
2002.03.19,2002-03-19,2002,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,20,Punctures on left foot and foot ,N,15h45,4' shark,"S. Petersohn, GSAF; Orlando Sentinel, 3/20/2002, p.B2",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.19-Sadler.pdf
2002.03.15.b,2002-03-15,2002,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,39,Arm bitten,N,Morning,"Nurse shark, 1m ",ezboard.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.15.b-Land.pdf
2002.03.15.a,2002-03-15,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,31,Several  puncture wounds on lower right leg,N,10h55,"Spinner shark, 3' to 4' ","S. Petersohn, GSAF; Orlando Sentinel, 3/16/2002, p.C.2",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.15.a-male-surfer.pdf
2002.03.03,2002-03-03,2002,Provoked,NEW CALEDONIA,Loyalty Islands,Lifou,Fishing,M,44,"PRESUMED FATAL, body not recovered",,,Shark involvement prior to death unconfired,"Les Nouvelles Caledoniennes, 3/11/2002",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.03.03-Yves-Koidrin.pdf
2002.02.23,2002-02-23,2002,Unprovoked,TURKS & CAICOS,,,Fishing,M,,FATAL,Y,,,sharkattacks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.02.23-Sutton.pdf
2002.02.16,2002-02-16,2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,30,Heel / foot bitten,N,09h00 -10h00,"1.5 m [5'] ""whaler shark""","Sunday Mail (QLD), 2/17/2002, p.13; T. Peake, GSAF;  AAP (Australia)",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.02.16-Koster.pdf
2002.02.11,2002-02-11,2002,Unprovoked,FIJI,Cikobia Island (north of Vanua Levu),,,M,15,"FATAL, lower thigh & knee severely lacerated ",Y,20h00,,Press Report dated 2-14-2002,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.02.11-Rasoki.pdf
2002.02.07,2002-02-07,2002,Provoked,AUSTRALIA,New South Wales,Paramatta River (near Sydney),Kayaking,M,35,Stern of kayak bitten/chest bruised ,N,19h15,C. leucas tooth fragment recovered from kayak,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.02.07-McNamara.pdf
2002.01.30.b,2002-01-30,2002,Unprovoked,AUSTRALIA,New South Wales,Just north of Fingal Spit,Surfing,M,20,Bruises & minor cuts,N,20h45 (Sunset),"Tiger shark, 3 m [10']","T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.01.30.b-Cribb.pdf
2002.01.30.a,2002-01-30,2002,Unprovoked,AUSTRALIA,Western Australia,Collie River ,Swimming,M,32,15 cm wound on inner thigh,N,,,"T. Peake, GSAF; D. Green",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.01.30.a-Calliss.pdf
2002.01.04,2002-01-04,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Fishing,M,16,Leg bitten & surgically amputated,N,02h00,Zambesi shark?,"G. Gifford, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.01.04-Sheik.pdf
2002.01.03,2002-01-03,2002,Unprovoked,BRAZIL,Pernambuco,Candeias,Swimming,,,FATAL,Y,,,JCOnline,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.01.03-Candeias.pdf
2002.01.01.b,2002-01-01,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,,M,26,Foot & calf bitten,N,Sunset,Unidentified,ioL.co.za,http://sharkattackfile.net/spreadsheets/pdf_directory/2002.01.01.b-vanNiekerk.pdf
2002.01.01.a,2002-01-01,2002,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,35,Lacerations to buttocks & thigh,N,13h00,"Tiger shark, 1.8 m [6'] ","G. Kubota, Star Bulletin",http://sharkattackfile.net/spreadsheets/pdf_directory/2002.01.01.a-Holmes.pdf
2001.12.21,2001-12-21,2001,Provoked,AUSTRALIA,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,M,36,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",N,Morning,,sharkattacks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.12.21-Dickson.pdf
2001.11.23,2001-11-23,2001,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,49,"No Injury, shark hit board",N,,Bronze whaler shark,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.11.23-Frankland.pdf
2001.11.14,2001-11-14,2001,Unprovoked,USA,Hawaii,"Kapalua, Maui",Surfing,,,"No injury, portion of board's lower surface removed",N,17h00,,Hawaii Department of Land and Natural Resources,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.11.14-Schweitzer.pdf
2001.11.07,2001-11-07,2001,Provoked,AUSTRALIA,Western Australia,"Leighton Beach, south of North Cottesloe",,M,,"No injury, fell off ski after possibly colliding with  a shark",,,,"T. Peake, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.11.07-LeightonBeach.pdf
2001.10.07,2001-10-07,2001,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,Boarding,M,,No injury,N,,"Mako shark, 2 m [6.75'] ",NSB,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.10.07-vanBreda.pdf
2001.10.02,2001-10-02,2001,Unprovoked,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,20,Lacerations to right forearm & shoulder injured,N,13h00,Bronze whaler shark?,K. Jones,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.10.02-Katherine-Jones.pdf
2001.09.30.b,2001-09-30,2001,Unprovoked,MEXICO,Guerrero,Ixtapa,Surfing,M,26,Hand injured,N,Late morning,"Tiger shark, 1.8 m [6']",T. Carlson,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.30.b-Lavelle.pdf
2001.09.30.a,2001-09-30,2001,Provoked,AUSTRALIA,Queensland,"Moreton Bay, NE of Brisbane ",,M,31,No injury from shark,N,P.M.,4 m [13'] white shark,"T. Peake, GSAF   ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.30.a-MattGeorge.pdf
2001.09.24,2001-09-24,2001,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,21,PROVOKED INCIDENT Several small lacerations on left foot ,N,16h20,4' shark,"S. Petersohn, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.24-male_Ponce.pdf
2001.09.18,2001-09-18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,"1"" to 2"" cuts on right ankle & foot",N,15h00,,"Orlando Sentinel, 9/20/2001, p.D2; S. Frederick, Daytona Beach News Journal, 9/19/2001, p.1C",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.18-Mosler.pdf
2001.09.16,2001-09-16,2001,Provoked,USA,Florida,"2 miles off Pompano Beach, Broward County",Diving,M,42,FATAL or drowning & scavenging,Y,13h20,Questionable incident - shark bite may have precipitated drowning,D. Fleshler,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.16-Reichardt.pdf
2001.09.15.b,2001-09-15,2001,Unprovoked,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boarding,M,6½,"2 lacerations on lower back, punctures on buttock",N,15h00,2' to 3.5' shark,"G. Hock, M. Levine, GSAF; Orlando Sentinel, 9/18/2001, p.D2",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.15.b-Hock.pdf
2001.09.15.a,2001-09-15,2001,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,M,16,Foot bitten,N,13h45,,"Clay Creswell, GSAF; Topsail Voice, 9/19/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.15.a-Fulcher.pdf
2001.09.13,2001-09-13,2001,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,,Head bitten by captive shark PROVOKED INCIDENT,N,,12' sandtiger shark,"Daily Post, 9/14/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.13-Aquarium.pdf
2001.09.08,2001-09-08,2001,Provoked,USA,Florida,"Everglades National Park, Monroe County",Fishing,M,44,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,N,,,"Orlando Sentinel, 9/9/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.08-angler.pdf
2001.09.07.b,2001-09-07,2001,Unprovoked,USA,Florida,"Key Biscayne, Dade County",Walking,M,13,Minor injury to left leg,N,18h40,,"Miami Herald, 9/8/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.07.b-Homer.pdf
2001.09.07.a,2001-09-07,2001,Provoked,USA,South Carolina,"Waites Island, Horry County",Swimming,F,,Left hand injured,N,,Shark involvement not confirmed,"Sun News (Myrtle Beach, SC) , 9/11/2001; The State (Columbia, SC), 9/12/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.07.a-Boyce.pdf
2001.09.03.b,2001-09-03,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,M,28,FATAL,Y,18h00,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,"M. Levine, GSAF            ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.03.b-Sergei.pdf
2001.09.03.a,2001-09-03,2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,23,Left buttock & foot  severed,N,18h00,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,"M. Levine, GSAF            ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.03.a-Natasha.pdf
2001.09.02,2001-09-02,2001,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,M,20,Right calf lacerated,N,Afternoon,1.5 m [5'] shark,"Orlando Sentinel, 9/4/2001, p.B2; Florida Times-Union, 9/5/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.02-Moseley.pdf
2001.09.01,2001-09-01,2001,Unprovoked,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming,M,10,"FATAL, thigh bitten ",Y,18h00,bull shark,"M. Levine, GSAF            ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.09.01-Peltier.pdf
2001.08.31,2001-08-31,2001,Unprovoked,BAHAMAS,Abaco Islands,North of Grand Cay,Fishing,M,44,Torso lacerated,N,13h30,3 m [10'] bull shark,G. Atkinson,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.31-Raich.pdf
2001.08.29,2001-08-29,2001,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,29,Punctures & lacerations on elbow & forearm,N,13h30,,"Sarasota Herald-Tribune, 8/31/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.29-Herzberg.pdf
2001.08.27,2001-08-27,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,69,Heel lacerated,N,16h20,,"S. Petersohn, GSAF; CNN;  M.I. Johnson,  Daytona Beach News Journal, 8/28/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.27-Goettel.pdf
2001.08.26,2001-08-26,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,18,Thigh & foot bitten,N,16h00,,"Miami Herald, 8/26/2001; S. Mussenden, Orlando Sentinel, 8/26/2002, p.B1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.26-Gibbs.pdf
2001.08.25,2001-08-25,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,18,Upper left thigh & right foot bitten,N,14h00,,"S. Petersohn, Miami Herald, 8/26/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.25-boogie-boarder.pdf
2001.08.22,2001-08-22,2001,Unprovoked,USA,Florida,"Daytona, Volusia County ",Surfing,M,17,Foot lacerated,N,16h20,a small shark,"M. Giusti, Daytona Beach News Journal, 8/23/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.22-Lutz.pdf
2001.08.21,2001-08-21,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Thigh lacerated,N,16h00,,"S. Petersohn, GSAF; L.Lelis, Orlando Sentinel, 8/22/2001, p.D.1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.21-Oyarce.pdf
2001.08.19.c,2001-08-19,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,Cuts on right foot,N,13h14,,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.19.c-Kurrek.pdf
2001.08.19.b,2001-08-19,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,17,Lacerations to lower leg,N,13h06,,"E. Ritter & S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; L.Lelis, Orlando Sentinel, 8/22/2001, p.D.1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.19.b-Chapman.pdf
2001.08.19.a,2001-08-19,2001,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,17,Left foot lacerated,N,11h20,,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.19.a-girl.pdf
2001.08.18.c,2001-08-18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,Cuts on right foot,N,12h30,Possibly  a blacktip or spinner shark,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.18.c-White.pdf
2001.08.18.b,2001-08-18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Back of left hand gashed,N,12h05,"3' shark, possibly  a blacktip or spinner shark","S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.18.b-Valentine.pdf
2001.08.18.a,2001-08-18,2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Left ankle bitten,N,10h00,"Blacktip shark, 5' to 6' ","S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.18.a-Feindt.pdf
2001.08.16,2001-08-16,2001,Unprovoked,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",Fishing,M,43,Calf bitten,N,16h00,1.9 m [6.5'] bull shark,"E. Ritter, GSAF; 8/17/2001, p.A9",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.16-Bonde.pdf
2001.08.12,2001-08-12,2001,Unprovoked,THAILAND,Rayong Province,Laem Mae Pim Beach,,M,21,Legs bitten,N,,3 m [10'] shark,O. Jaimuang,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.12-Jaimuang.pdf
2001.08.05,2001-08-05,2001,Unprovoked,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",,F,,Toe bitten,N,,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.05-female.pdf
2001.08.04,2001-08-04,2001,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,Swimming,M,36,"Leg bitten, later surgically amputated above the knee",N,10h20,,"Orlando Sentinel, 8/7/2001, p.D3; 8/8/2001, p.D2",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.04-Thompson.pdf
2001.08.03,2001-08-03,2001,Provoked,ITALY,,Rimini,Fishing,,,No Injury to occupants,N,,,MEDSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.08.03-Longhi.pdf
2001.07.26,2001-07-26,2001,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,F,,Survived,N,,,SAF,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.26-female.pdf
2001.07.25,2001-07-25,2001,Unprovoked,USA,Florida,"Taverniier, Monroe County",,M,,Minor injury,N,16h00,,"Key West Citizen, 7/26/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.25-FloridaKeys-male.pdf
2001.07.24,2001-07-24,2001,Unprovoked,USA,Florida,"Marathon , Monroe County",,F,,2 bites behind knee,N,,Nurse shark,"Key West Citizen, 7/26/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.24-female.pdf
2001.07.21,2001-07-21,2001,Provoked,USA,Massachusetts,Chatham Island,Fishing,,,No Injury to occupants; shark bumped the boat ,N,,"Mako shark, 14' ",GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.21-Massachusetts.pdf
2001.07.15.b,2001-07-15,2001,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,M,48,Left foot & heel lacerated,N,14h30,,"CNN; Pensacola News Journal;  R. Suriano, Otlando Sentinel, 7/17/2001, p.D.1",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.15.b-Waters.pdf
2001.07.15.a,2001-07-15,2001,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boarding,M,18,Foot lacerated,N,14h30,0.9 m  [3'] shark,"The Enquirer (Cincinnati), 7/17/2001 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.15.a-Flanigan.pdf
2001.07.06.b,2001-07-06,2001,Unprovoked,MEXICO,Baja California,Ensenada,Surfing,M,42,Foot bitten,N,Evening,,KGTV,http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.06.b-Fabel.pdf
2001.07.06.a,2001-07-06,2001,Unprovoked,USA,Florida,Gulf Islands National Seashore,Swimming,M,8,"Arm severed, surgically reattached",N,Dusk,"Bull shark, 2.3 m [7.5'] ","E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.06.a-Arbogast.pdf
2001.07.03,2001-07-03,2001,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County ",,,,Hand bitten,N,,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.03-SouthCarolina.pdf
2001.07.00,2001-07-01,2001,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",Floating,M,35,2-inch cut on dorsum of left foot,N,18h30,,"Atlanta Journal-Constitution, 9/5/2001; Florida Times-Union, 9/5/2001",http://sharkattackfile.net/spreadsheets/pdf_directory/2001.07.00-Davis.pdf
